RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1687.6339222179313,1700.2295215609163,1716.8025781115093,1731.3978658022281,1747.0712788251567,1757.7669331961993,1771.3517114179217,1780.7318188181257,1793.5325846189737,1798.270390205883,1804.8068348129286,1811.7910417849937,1823.1667132237797,1834.4597759433393,1847.5609724797948,1859.2172815988342,1873.1221942016623,1883.2684926014451,1895.9039784211307,1902.613679587242,1908.9078178944387,1910.5031831628912,1911.549192762644,1915.7313255362724,1930.4872954530306,1947.3453651906195,1968.667943070809,1979.7323435967041,1995.436000583747,2003.985371436743,2016.344230542803,2021.5771038936734,2027.2138827104015,2027.7981095351631,2032.0268679952487,2037.334111181527,2048.4104235876443,2062.643399915422,2072.7049254910353,2082.31390110288,2090.247465203423,2103.7917537151093,2115.9904022225264,2126.319339269252,2130.359509924032,2133.8946223157814,2138.785388347716,2144.458532895711,2149.49181147709,2153.3441855040815,2166.1772255119895,2179.120934015535,2192.3959339398184,2201.5043430177466,2209.0021453602963,2214.5339902936353,2217.5906110142623,2218.53837807751,2219.8933139645,2222.6711174497523,2228.7768205852262,2233.3824135376353,2234.058700126851,2226.793544590934,2220.5932196160866,2217.7476838821303,2219.439819460207,2218.1363424405886,2212.378029864893,2207.4579655445186,2205.057622124371,2203.3149013481743,2210.175018627701,2217.5339286497597,2228.4715960501394,2237.3729048447135,2253.994253529907,2283.4061150291254,2319.0517256723037,2358.9369388708724,2389.236765994682,2410.137960579909,2421.991022629066,2438.7359876594855,2456.6054797155625,2481.759206730248,2503.715181497637,2530.4574543212075,2551.5014176555037,2571.893383796603,2590.957460469266,2606.9031902583565,2616.8016518662466,2614.791710517058,2610.686571955149,2606.0692185361727,2607.596340434329,2614.334848121728,2628.967976219028,2639.0852721759725,2647.2493257575857,2650.2004967957623,2656.37834041803,2662.1874021107387,2662.932823567621,2660.2149684399405,2651.3892041785152,2646.388214810721,2649.5622600217803,2658.3813461809523,2671.3286078466167,2681.7736914060333,2692.774535973832,2701.981167773144,2711.5054634497005,2717.0700301986403,2722.087607430533,2719.4071635926402,2715.942413585461,2710.2630654141326,2731.990419835339,2754.11330808324,2775.2679246029534,2770.8980567885314,2771.5892849841257,2774.310663707377,2779.7979262455624,2782.43809314667,2784.9339063304064,2783.189839770079,2776.69243088317,2766.8520452188814,2768.4620047904773,2774.6560081452467,2786.7138836740905,2795.204848504218,2803.364427119388,2808.289506256638
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1457.954735467878,1467.8937071358193,1479.861741012993,1489.4605440579296,1500.356823898185,1510.9381421106373,1516.3894796730071,1519.056632971625,1513.5723296959495,1505.3086495577643,1495.297449547052,1494.4961470061692,1504.225363903972,1517.720762750412,1530.8767903285861,1539.1395584614759,1547.2622757336453,1555.7575001063642,1562.7311935362154,1567.3857381625724,1560.4396136536225,1549.4184026787677,1535.1031871402909,1527.8559148390473,1533.902845753401,1549.71640556925,1570.5224821509285,1585.1891040541327,1596.7520220698339,1603.5430803530485,1605.1680267510308,1600.1870816903306,1592.5853548033097,1579.6018974526696,1569.1833630176436,1566.5286695169805,1576.105245742585,1591.5775486073264,1604.9677474264406,1616.1058476601802,1626.624091886471,1636.775828211694,1642.2958258553645,1638.949986307861,1625.137609126275,1611.3285097452215,1602.482719395169,1603.5537985564822,1612.9178868078648,1625.2095559163888,1643.5877246719742,1658.4187317379244,1671.6418203619437,1678.6224433639686,1681.4539048910012,1681.6649363599943,1675.9378287630013,1667.9028188499317,1658.5060697423285,1652.7055319153385,1662.2452438992923,1675.4652928435141,1691.6071323149454,1692.863729874543,1691.7023460475725,1688.5289591227563,1686.2848063698473,1677.1294451604197,1657.698612856552,1630.1130140066234,1607.5031220600301,1599.1507692761643,1602.7399262994693,1616.5612386043983,1635.2156976959652,1663.4447487106893,1691.6693453555927,1717.5464989068437,1735.0551068265197,1745.8097870494823,1750.4488939105554,1748.6754941574293,1747.6015915714327,1753.0144314007562,1767.8404774087178,1785.6447923362202,1807.6126875750908,1832.605388264557,1859.4470562662707,1879.9198255995448,1895.3948154006416,1902.20706937581,1901.7698097426955,1896.1023177958,1890.9637666217948,1892.8148584309615,1902.032334479437,1918.0311368720372,1936.855308733146,1956.5427896134288,1978.076101508788,1995.939844737402,2007.8046824002836,2013.155519001269,2007.834397000743,1997.0749452885402,1988.504894123821,1990.5844394529292,2001.7061559801982,2018.3621759504165,2035.3202267064767,2056.1158535788823,2073.3378783419134,2088.9150498486465,2095.9517817313363,2097.364734301549,2094.1005644737966,2090.859905792585,2089.4786585333754,2091.716250174296,2102.6532184637967,2121.4395111857225,2145.5456530114084,2169.332124576748,2191.7297189869378,2211.2498829637,2222.3024219767335,2226.651427723148,2225.008454460258,2217.950413947172,2212.7087236788066,2210.131279921685,2224.9400922991667,2246.0673755092757,2273.154055140084,2295.7139261029934,2317.8536871472356,2336.0843701794697
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1180.207632332432,1182.4880120203654,1187.597154346645,1198.7485382783477,1209.0648963506899,1218.4414459503332,1218.461203694119,1220.0087844667335,1218.0872965107299,1216.0044126186913,1212.3580772332373,1209.7107743131032,1210.5937682753624,1212.0049167890695,1217.3990225479308,1222.8916014830654,1226.9855572626464,1228.4936367557807,1227.1785426148094,1224.4926647094976,1219.1357610478788,1215.701684215284,1210.2111035118958,1207.952669291715,1208.4616904394147,1216.2576192272431,1225.0513876165073,1229.718827815641,1237.0397610847292,1237.7951097742682,1238.0563432217587,1233.0112016466278,1239.9226669523441,1248.487434340513,1260.2853751628447,1267.140945645806,1269.4812369847946,1275.5875003711787,1276.338024057643,1284.528435742752,1286.5934449175115,1291.5992564494622,1290.6366700527149,1288.4083315263345,1285.0431271398472,1285.498876562729,1287.9430593726765,1287.6598794784913,1287.4239736016432,1284.494841776737,1290.455760872206,1295.7983295943288,1306.1227399438408,1312.8205710340146,1316.8922453415198,1316.5348110510326,1313.0590746822731,1311.6701457442332,1310.2187710497317,1313.715398922639,1316.7923929259784,1322.8424124157032,1328.7586470905019,1325.3991616336968,1320.7941770719422,1316.0917731511863,1320.693900622419,1324.3647423393443,1323.3826215789945,1323.0695311847421,1322.9128067019017,1322.6967899083227,1327.4222699347242,1331.0454534792505,1340.1019490104009,1352.1558251434913,1371.806259723183,1398.2556534437306,1421.6132821308925,1443.017770527267,1454.9582382568744,1461.6992842978057,1464.2569665808319,1466.7898358479833,1472.2254838873368,1482.777413579937,1493.3764842941425,1505.000008892575,1515.876492108361,1530.4039793894449,1542.6161561136184,1549.724445144942,1547.2749509431887,1541.2008294661964,1532.265972501538,1530.2424598567404,1533.0335493702862,1541.451566189639,1552.2521139037312,1557.5552826428132,1565.4369426083733,1571.8331494970448,1578.3805859003803,1580.075775448773,1575.681869299539,1570.9819659150892,1565.747918478462,1564.6577065964705,1566.1067109932987,1569.8702758786292,1572.4705044101458,1578.5345326441054,1585.2688640305473,1592.9162059327678,1596.9729467365676,1600.8457106369046,1602.8166743049885,1601.1826262561353,1596.1134746215012,1592.0907724568985,1592.0615903614248,1595.47129507435,1603.0535788726181,1607.5414921859053,1609.4979281116034,1603.327330076743,1604.4750869486886,1604.2655966211423,1606.8237439820266,1601.0610260263884,1594.2520169698278,1588.136668742265,1586.067157467236,1583.9580830924522,1585.6273860270703,1588.8303025701257,1595.7046822384311,1599.8575623953413
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,912.5139616859292,926.8458657886807,933.671391932888,946.5466646355837,946.9670278926809,954.8699063422301,954.9365337601258,956.1357905516434,958.9336568859986,961.5288362471296,965.2659286682804,966.6404971894036,971.7630215281326,976.3377433353076,983.2334822555703,990.0549342619073,997.9269500506758,1004.9430358525852,1008.9506720464201,1010.66362732713,1011.6626118926616,1011.3142449666722,1012.9411684333112,1013.872727055863,1020.1699579127954,1028.4657708871462,1039.759974562355,1049.2236509951954,1058.501289236242,1064.6347804504828,1069.4101047512513,1071.5857468660145,1074.2723952045837,1076.0010816032523,1079.0154040759744,1081.6222686564477,1086.717025554798,1092.495094602353,1104.192479710088,1117.4246497924346,1128.5853605787288,1136.4765312621953,1143.346028104456,1148.8329091647893,1153.9187936189483,1157.552224532238,1163.5536350496193,1169.2026589570917,1173.2159203053927,1181.5272299620294,1191.4889461972962,1206.390216839327,1217.4245465952658,1227.616165785196,1234.8543583896687,1241.485730506583,1245.7270918774843,1249.1199928658395,1254.4052464469319,1262.602710917864,1271.595694155962,1281.2657270230195,1287.1412904723506,1287.315328338576,1286.4794073820915,1290.634389161563,1304.4738604689867,1320.655621560199,1336.2087709617626,1349.6857268806261,1361.4257776990555,1371.1613444437087,1383.8363329479428,1398.1430507293867,1420.2845908889735,1447.2972274408214,1485.0543665753967,1528.440515847056,1575.258734495618,1616.8496929097755,1646.6985440749788,1667.0096024974798,1678.5696370163325,1688.2787794250878,1696.2657591566447,1706.9016675550195,1720.3660697564783,1732.3686770341199,1740.1659838886044,1746.0617267430503,1750.940060298001,1751.7511085161607,1742.883883352168,1730.972209109655,1719.6708236594682,1715.0931645118405,1712.9711230557166,1718.3461591848516,1732.3576959057004,1739.0350433454305,1742.9572179758297,1739.137535732994,1743.5161412147156,1742.8037402679247,1739.2978243552477,1730.0828740232819,1720.9495130637881,1714.0151916237692,1714.9937824862038,1722.538526350191,1730.4982407385044,1737.4589954015892,1741.1108854442375,1743.6028572450664,1744.822910243182,1744.2976506105433,1741.5445185924837,1732.7951309546238,1723.9078471654852,1717.100906375835,1719.5029206813306,1727.3092636165986,1734.7104294353858,1736.358408486572,1733.2118326942086,1730.068037379153,1727.8882889238932,1724.8504859507846,1723.605328302656,1718.8208950799485,1711.3490620646953,1706.5207226538178,1706.8427872074753,1713.565668277192,1718.4960439667825,1722.4252294079756,1727.5850271235377,1728.836895573632
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1633.7852468849956,1644.3101948922658,1652.9778560700638,1656.7426581689854,1667.7753835658425,1676.2503389810447,1692.3518365151297,1702.6751118675825,1711.061054189169,1713.730069506301,1713.0035463136298,1718.5161429247567,1724.085249060816,1732.3828289007868,1741.1335424522679,1750.906398820751,1763.6832682940467,1779.0240995428132,1791.3569427506236,1799.338389196282,1802.0968258804016,1803.8037472829667,1804.1550765274922,1805.8700638238217,1812.6602251914176,1828.340640601956,1847.5669954971704,1866.3096954106022,1881.6875098835123,1893.336958538669,1904.4868257273265,1910.120608361983,1912.3298862552656,1911.52952369463,1911.7102474174233,1913.578504419408,1923.9379541570424,1935.1089366508552,1949.276017719207,1960.3503200596904,1976.4870595177147,1988.3821780875076,1999.9481665885387,2006.8121726929362,2011.5253172326047,2010.287186971278,2005.025688728009,2007.1999688144265,2011.8056074520791,2019.4893680035661,2025.3097909153807,2035.227746703994,2048.207767598531,2060.5444047385354,2072.3586171444304,2079.524384655498,2080.8042254076254,2079.7065414453564,2080.3326293236246,2083.9136623020354,2088.9294299840917,2093.2361046814194,2097.7470120862067,2091.0849544244047,2085.4878266195396,2084.3613405798196,2095.9042690331744,2105.237309533884,2117.923641919559,2131.7068169492973,2145.399736205816,2154.439499444961,2162.6479213281173,2174.1633196838566,2191.2950329537607,2218.380901383577,2253.8661191902643,2292.6244902986587,2341.3487535573204,2392.9641119072567,2445.3147931655794,2475.957577337299,2496.8324999636775,2510.8809469643156,2530.5059891510878,2557.065847977314,2588.702014971409,2631.418430921345,2674.6799783212937,2718.1055104604948,2749.232824141459,2772.4505529210683,2776.2727541818094,2769.686154525954,2751.1908982075875,2742.4269953162798,2738.5033081619745,2748.1801425477047,2774.0199801738972,2802.4392730918817,2833.6968238781064,2853.0381407677855,2869.785499633125,2875.9038362863866,2872.896711215576,2859.1336966654812,2837.79199212838,2819.6579923169243,2812.373716812048,2821.2007712957297,2836.6970968050864,2855.8830772103615,2872.7832169631333,2888.322324922711,2898.0256169387967,2900.7288466982136,2899.894435789894,2897.0844028497095,2893.8039369586627,2886.6664485615297,2889.557687067408,2897.310933483955,2913.181057698611,2922.0552294482873,2930.8305252625346,2939.7156308540134,2945.0174377890357,2950.9991666119486,2949.707654998356,2946.892517296272,2932.6817802101245,2925.1068775829567,2927.847375099148,2942.030120070018,2954.1402833243437,2965.206243921987,2977.1446367707053,2990.5007821395902
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1844.404016836377,1851.4279547650387,1862.120213531432,1878.2630618961648,1893.036289377231,1905.5466948279811,1915.8850070648093,1928.031018425422,1930.9103168401082,1935.678623491196,1934.7807719552861,1937.885678480275,1943.2835555834822,1951.3824343919744,1956.3896493477707,1964.4122016884776,1978.1281018283096,1996.366796513323,2005.721501640394,2008.209023430193,2010.2038601949491,2007.3033967932402,2014.101832598642,2010.2593689224116,2020.6216062069454,2031.6129939945756,2055.151233844,2072.8031736568328,2080.03223104134,2090.6752565050297,2096.5605971558166,2103.757809620467,2104.3742872166295,2101.378353915846,2103.6278837373065,2106.0872959140474,2117.3360740793905,2122.319680046633,2133.133056518368,2139.379737856433,2148.2535126607922,2155.18927164901,2160.5884601264647,2162.179654003149,2162.6627046715817,2165.5270331131105,2171.9945787452957,2174.209266957469,2177.499512742786,2181.9682688450825,2192.112330606093,2198.115204380167,2210.986561486336,2220.7615799775754,2231.3547830775738,2232.2866185615994,2231.780712226222,2232.129257416318,2236.7410509045985,2239.1228700401175,2248.259830806498,2253.884765860729,2259.2898632552906,2244.264866373293,2231.520528219178,2224.0270532986856,,2239.4028081469996,2252.1550855180603,2264.852377270478,2274.022095399485,2281.4706975440026,2295.251628787122,2315.2208823306723,2337.8442127076737,2358.5540163652795,2386.346928588608,2431.0405758271795,2498.537870357004,2580.5765797756335,2649.9985667145206,2690.11968488557,2711.7995227906545,2722.7654473862312,2741.1133144990736,2760.824089875232,2789.053763288728,2822.9038586926345,2852.5805114874142,2882.4240217002503,2899.428197490146,2909.016259429443,2903.227743769374,2891.2069386522535,2884.640326597512,2869.386738163721,2861.576290727628,2854.808606423384,2867.6731174921497,2880.1734684219,2897.367124210217,2915.5099803259423,2947.8307753807744,2973.003598643009,2985.8151848361726,2983.5263454753153,2975.9689722702838,2976.447153636324,2975.026421736388,2978.79721790471,2977.440069646213,2983.0040640907323,2992.943312895789,3011.3855128845976,3031.5560347010946,3046.4784300383417,3052.0165953932933,3051.6983685844516,3044.898606276886,3038.318251747458,3043.841500139121,3056.2279411954214,3075.8841309879845,3086.617818091186,3097.4554343348295,3108.963555696069,3113.94623504148,3125.2299020135347,3130.367793860039,3132.3802401617136,3129.9565673828265,3126.0560344033656,3129.6827129020603,3136.0327520295054,3149.3990983641606,3163.672798902529,3175.478978467335,3185.8994273379017
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2341.999177724262,2360.4008954874744,2385.725649570094,2405.0429310580753,2428.4545308018187,2458.8937408416905,2476.104176647338,2487.9540907307482,2504.6474120660596,2514.8218383122903,2504.7260994733947,2478.209233573375,2467.175632072862,2468.4774028094557,2485.6079859003635,2492.682226584982,2505.1168800194273,2516.846470266978,2535.3961970672603,2551.585287819408,2558.3322505576402,2554.8777306936486,2557.0040792130185,2543.041456551963,2533.035393097263,2522.265816937676,2528.353270017327,2543.8342001026567,2557.637142997697,2573.706618424094,2590.8495802021125,2603.1331945892794,2602.963078876001,2585.5709491423104,2566.241309792461,2554.3260018720475,2553.2027803987585,2554.3857153943823,2567.7233292874957,2586.192174740251,2606.708238280346,2622.336599738048,2634.1204654625662,2645.302772785391,2647.5707599422453,2639.3916394167877,2624.6452167512134,2606.757766451418,2607.831979522328,2620.6600497574364,2648.787411507291,2668.355269531,2694.4617165697873,2710.6302609648374,2735.7465353343796,2751.5636555956066,2767.0464522003,2770.511568744727,2767.299546949046,2759.9052646223004,2759.8821587137813,2768.4050980068173,2784.4891231553047,2776.4259346782596,2758.3781149407073,2725.784205247003,2703.851219475244,2665.7621897430254,2617.4858560662765,2570.9641121350346,2536.374736589534,2517.693576739257,2509.6683472958784,2519.2882426409305,2541.5654545851316,2575.347662368917,2615.0171182354857,2668.6992178872088,2726.8381728273853,2784.487627292736,2831.9179615471403,2858.0979960720556,2879.351244436733,2892.0716619153873,2925.919086468551,2964.1263431468533,3016.108252707911,3060.9453917362735,3122.2025255934645,3186.000173005524,3247.413678052486,3288.8461660029266,3299.434533598266,3290.6189310769482,3249.6123237155084,3217.599284595445,3211.6150907642746,3228.197040370466,3254.9842268969064,3284.0844634850987,3321.117511493447,3361.0593541078497,3389.9609243713917,3408.043194132695,3415.1526185584466,3396.686819987549,3360.9741923921893,3334.611516460107,3335.2050132140807,3361.419397906431,3390.934084731862,3419.9685454369073,3456.1657222239955,3492.715757049524,3519.2960081075653,3523.9806221664626,3509.919771702735,3488.3018429799417,3465.36461560111,3440.28605982602,3437.9519599436608,3459.2700330761154,3504.609052850556,3549.583488090677,3587.6203479393553,3630.4437203290463,3661.7106825468354,3686.0773562889044,3676.214238428988,3659.2025478228493,3626.0757408804698,3610.0250489752902,3613.848426675119,3644.5182882951094,3686.459626725855,3724.4913272612434,3769.3369144917733,3808.0160081426443
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1636.4142333005539,1645.9971655898444,1658.3796990217372,1669.0619646729474,1680.0633396686108,1687.3714863298037,1694.9636318818527,1701.2650576523004,1708.4382546638992,1710.5619535831122,1717.4979112228332,1722.7549167858406,1729.9341137407525,1732.8787758542423,1735.422878080881,1735.8531941975398,1735.7661120842695,1734.2789456303085,1734.3260229729808,1730.8703495950865,1730.2510570771922,1727.5457945271523,1725.6491274262985,1719.1091830068976,1723.8893348089357,1729.4257265088618,1741.463701349967,1743.0683475289259,1746.741542226067,1747.9894287227962,1748.5906565549788,1751.3075766660913,1753.9330408656244,1758.1375572549862,1757.0381696293266,1757.5676293863014,1759.729127506403,1764.3549084940516,1769.6794696757006,1775.5096050824368,1779.0156838625103,1783.9866308432684,1787.3067915978384,1793.6071426192714,1796.9326974791943,1802.2239028166518,1803.5571253276078,1805.8608045910148,1805.5464803027862,1804.209203292674,1807.1184298675232,1811.6771146173078,1819.920071709087,1823.526367339787,1823.8235806789403,1824.135111134158,1824.9324635052785,1833.9474369258785,1845.7759967366148,1855.675497398954,1858.5808103216957,1860.8305083104308,1860.3657393926194,1851.3935527556293,1837.7734830937027,1832.0635734455977,1834.8241018273948,1835.6121553054934,1832.8302044830673,1837.5026535829204,1852.3267295569885,1871.6804630271574,1894.954575921232,1929.327156534045,1966.099109988629,2007.7112653172373,2050.9749351755386,2104.8364702650065,2170.9404674485318,2230.739635284333,2287.9917332757286,2330.600163666967,2377.53828157086,2430.8804826687788,2476.38440723916,2535.2659285261975,2587.017595701442,2650.060226783494,2696.400860190301,2730.893519825906,2757.4650415025953,2768.372077112972,2778.5228763942155,2776.627345525111,2773.528310704304,2773.5678435018435,2774.001688254836,2780.8977988569472,2789.4520863460616,2800.1145709078983,2803.988298547771,2800.7448057040615,2797.1102613198177,2795.2558133765397,2792.9070862044355,2794.4461194567953,2795.5222839294647,2793.139075604521,2794.4453602405665,2804.3355857111674,2821.2198780253593,2835.3909281671113,2844.452718202029,2847.887663245589,2850.0762343145348,2849.737143483435,2852.8733338136994,2852.85586905534,2849.6757526079946,2847.871114798292,2852.5183014595386,2859.865183581877,2866.088266503706,2867.3387692298948,2872.6078616669574,2873.3634075196564,2871.8153364264417,2862.266645034576,2855.984242859169,2851.9305611363725,2852.150923224266,2849.73493942138,2847.7057227054606,2853.4121172631576,2863.590705713911,2876.165646305492,2881.3404990002145,2886.2743289679456
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1025.0742634939022,1026.704689291632,1034.2718049429777,1048.410575337799,1061.380109404167,1070.157484097488,1078.3156726558573,1080.9626750623975,1083.9285567249412,1083.246875220631,1087.202245938327,1089.554947883742,1093.7911890275434,1099.569439832936,1106.5367156499158,1116.956086546179,1124.9824713890605,1136.1392797808448,1139.374458633681,1142.4729446387016,1140.919750589303,1147.5878118898715,1150.3579207881542,1155.1538755587228,1159.8838844417337,1163.8894925400057,1175.0793044563413,1183.5928706593963,1197.3470002628274,1203.341366085718,1208.084500462236,1207.555292624661,1207.2008731694282,1205.3167213632867,1214.0896529988047,1217.5424015556325,1221.3238805710937,1226.470232784365,1229.0218443562562,1233.9750422729294,1234.0481485926164,1246.5403381832011,1252.5415623338981,1255.4247300028233,1247.7727843537803,1248.3839368588872,1250.4951869518152,1254.4930823984785,1260.3243144326284,1262.527476277072,1271.6829403368065,1278.6508092778458,1287.1606380953576,1298.8768402242617,1301.4585641454632,1304.6901382784083,1302.5563274071703,1301.636078260261,1297.7057889200794,1291.589847489655,1295.0570100612722,1300.9011607457742,1307.6860542857398,1306.0348556230279,1303.7638499817242,1303.6205456558407,1305.1123026225048,1307.464403532818,1308.6727937869805,1310.9010397660588,1309.5260076383188,1313.101454032404,1318.7527364713133,1331.1424286851238,1340.8978761534847,1358.040920596617,1379.1839743767835,1409.302880872324,1441.3794069939868,1471.4274618605514,1493.005624679173,1504.201775530719,1511.5353136507892,1519.2678922083844,1531.6261766745718,1547.7393783194732,1559.8306230512974,1578.0509347741481,1598.9223037794513,1631.2900500937938,1652.7882044994828,1660.5452958410751,1653.727393219997,1637.2695882360943,1625.633489878507,1615.6587097308784,1613.0112049773193,1614.3697192846244,1623.852223244004,1629.6810109360883,1636.654359573037,1640.2539348332239,1647.2409545631951,1647.7981962856431,1643.8147095973288,1635.2815537557162,1627.0226988724633,1617.0569594580923,1612.3548954406328,1610.5057599165937,1611.1755731191445,1615.8744447012236,1620.8534147261942,1629.9182841321826,1636.4099216188326,1639.301076236024,1635.3505810653915,1629.3079547409072,1623.5321931691337,1617.7372914651207,1613.253110049218,1613.9923251239238,1620.4199962853534,1629.6842182527519,1633.5672935164282,1636.1501450143703,1635.1805607685599,1633.7086323091094,1631.1658873017952,1628.603516994246,1626.9235118477927,1621.2360154549817,1616.9805396365982,1617.91368600516,1625.9176931641907,1637.4438298622624,1642.9645341254077,1645.5238769889804
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1325.4128183106711,1329.1683148794493,1332.2389614570932,1339.8368354544043,1346.78047530771,1356.5954135668687,1366.5646244684563,1371.961363851303,1378.6702061397257,1385.7406184246315,1390.7364153778667,1395.2818108338242,1394.4756669955798,1403.1379855727357,1405.0268605148606,1406.3694088384796,1410.7789445350625,1416.12915063877,1427.7204926464574,1431.8595358012212,1444.7237108348168,1447.1013421311998,1453.7113699598247,1450.3065939987307,1465.9538439393518,1476.0040879647352,1489.427368031913,1498.9760598245614,1509.4592283541763,1521.1975341811726,1527.5603751153292,1537.69814127784,1543.566976375027,1549.2636461176796,1553.9477843966558,1555.904145154841,1562.7374910650099,1572.9569616679146,1585.1090386135818,1589.7235734185688,1591.0062356676158,1598.6339588309575,1608.9352094545256,1620.5857623450815,1630.6471007756795,1642.010988979093,1648.1456726511287,1653.4282585369529,1653.3301389111498,1654.9432061394666,1663.6790219120167,1674.6707117146825,1686.5336106267848,1692.235797326249,1701.813424235557,1712.7054320723123,1717.8315583729593,1721.8635064069201,1723.4178277816266,1729.711892018323,1734.130519700562,1740.9797588078584,1744.4420820482353,1742.0218533685736,1738.2054234570624,1748.927663882717,1769.4538523575493,1800.831056354704,1826.5927451375946,1852.6967237151612,1872.2090065597217,1893.0649609153816,1916.156620007588,1940.0702162054624,1966.1771724537662,1982.1683817162696,2016.7869782128712,2051.8758193402205,2104.845188937946,2147.2562163815373,2188.2220891592465,2207.3159234786467,2225.7188972520316,2228.024510365957,2248.90995460283,2261.507585620731,2294.7000688445855,2320.9492583482934,2343.6981409306472,2358.0764661963626,2369.110078641313,2378.1546312583832,2386.0104752228867,2381.6884606146828,2373.525544651636,2364.136668187312,2365.2841238503215,2372.296690211517,2383.485596432044,2393.853849702499,2398.7779483584754,2397.049641175204,2398.3869011775278,2409.2639582900215,2415.1101883903234,2428.422781655606,2423.451944772666,2424.5557314061407,2417.044913304417,2432.4704634682184,2443.0268829514707,2453.836653064472,2459.775999460881,2463.417905031506,2477.7071324283334,2484.627816191377,2500.479105471868,2498.627266514218,2495.6302081673734,2496.589599912909,2508.7804300958906,2514.598983194062,2515.234130434489,2516.9483434520425,2528.0548885561493,2531.997657052162,2530.3712515343555,2532.2786653617413,2539.4214276707285,2541.8293076005516,2542.1031263434493,2545.1825858290986,2552.884949013655,2557.0918937844954,2566.7754492257714,2577.631876253965,2587.86168415725,2591.0214592276166
